"transcript_id","gene_id","X128.cell.1","X128.cell.2","X128.cell.3","X128.cell.4","X128.cell.5","Day.4.1","Day.4.2","Day.4.3","Day.4.4","Day.4.5"
"ENSDART00000077251","ENSDARG00000054978",200.710886444364,197.575585696448,141.460057457989,215.111282140068,187.30262370762,127.286868827906,109.219473240767,125.945806506327,96.505638968734,146.090862871436
"ENSDART00000077399","ENSDARG00000055086",80.7738933251709,73.273064894047,64.4555906965838,81.4263045388957,70.6326392432775,6.94292011788577,8.4948479187263,5.24774193776363,3.36647577797909,7.98934406328167
"ENSDART00000077404","ENSDARG00000055092",80.7738933251709,74.5815124814406,78.1452736763892,61.3735578987199,81.3536648427036,96.0437282974198,139.558215807646,147.986322644934,96.505638968734,109.568147153577
"ENSDART00000077420","ENSDARG00000055115",64.8638840338494,64.1139317822911,74.1524494739459,62.5888758769124,62.43420790254,32.4002938834669,43.6877892963067,40.9323871145563,37.03123355777,60.4907479077041
"ENSDART00000077426","ENSDARG00000055113",0,0,0,0,0,2.31430670596192,1.21354970267519,5.24774193776363,3.36647577797909,0
"ENSDART00000077435","ENSDARG00000055124",189.696264627295,191.03334775948,168.269019960108,164.067927055984,181.626786625571,53.2290542371243,48.5419881070074,91.3107097170872,51.6192952623461,53.6427387106055
"ENSDART00000077459","ENSDARG00000055151",48.9538747425278,58.8801414327163,65.0259941540756,53.4739910404688,65.5874507259006,97.2008816504008,111.646572646117,89.2116129419818,102.116431932032,85.6001149637322
"ENSDART00000077476","ENSDARG00000055158",0,3.92534276218109,4.56322765993513,0,0,24.3002204126002,29.1251928642045,18.8918709759491,23.5653304458537,20.5440275912957
"ENSDART00000077479","ENSDARG00000055159",1.2238468685632,0.654223793696848,0.570403457491892,1.21531797819247,1.26129712934424,16.2001469417335,10.9219473240767,13.6441290381854,21.3210132605343,19.4026927251126
"ENSDART00000077483","ENSDARG00000055163",23.2530905027007,12.4302520802401,16.5417002672649,20.660405629272,16.3968626814751,0,0,0,0,0
"ENSDART00000077608","ENSDARG00000055270",4.89538747425278,7.19646173066533,10.267262234854,4.86127191276989,8.82907990540969,35.8717539424098,30.3387425668796,22.0405161386073,26.9318062238327,22.8266973236619
